Probes,G101,G102,G103,G104,G105,G108,G109,G110,G111,G112,G114,G117,G119,G120,G126,G128,G130,G302,G303,G304,G305,G306,G311,G313,G314,G315,G317,G322,G324,G332,G336,G337,G347,G358
ALYREF,0.364140851,-0.041847514,0.1118987,0.348966047,0.327554808,0.363779059,-0.024008286,0.496884077,0.52743083,-0.162631373,0.32548326,0.21765004,0.211846098,-0.451558128,-0.084883526,0.668815406,-0.004246785,0.313737747,-0.827162846,0.201192969,0.190106284,-0.411240597,0.200845516,0.664607164,0.035054215,0.03982651,0.175167325,0.70463942,-0.77135118,0.060941608,0.660956081,0.676683838,-0.526251659,-0.02471779
AMOTL1,-0.017653368,0.440047422,0,-1.258703755,0.697677186,-1.354446829,-0.389425062,-0.730343268,-0.125555618,-1.786200079,-0.877061405,0.85177553,-1.059453928,-0.193114342,0.402776977,1.437036033,-1.174417221,0.962000779,-1.001437574,-1.463759022,0.83450849,-1.326527975,0.739737608,0.424134578,-0.878797535,-1.203493936,-0.889037456,-0.374747904,-0.862445132,-1.220311707,-1.82320078,0.245395488,-1.882256316,0.461831473
ANKRD39,-0.16474873,-2.55144847,-1.127849763,-1.949458304,0.70678652,-0.126921028,-1.304281211,-0.069574107,-0.788947111,-1.746957177,-1.036813315,-0.700661951,-0.71713349,-1.724674111,-1.463589767,0.042513456,-3.748098594,-0.118811764,-1.746879866,-1.595535562,0.403048051,-0.200060447,0.377647987,-0.716643079,-1.265811916,-1.642603501,-1.497022915,-0.631592078,-2.166793011,-1.303966771,-2.222515767,-1.549081886,-1.072578629,-0.372703864
ARRB1,1.097948645,0.409813925,-0.267426706,0.17919581,0.127535276,0.387258713,-0.585372322,0.262199505,0.837553035,-0.882629257,-0.250325989,0.669821894,-0.386483549,-0.418912359,-0.041579642,0.298556426,-2.017840457,0.119660368,-2.166660641,-0.707539004,0.374736851,-0.441355767,0.806772964,0.48419361,-0.123558794,-0.892587008,1.227898775,0.460415,0.100676204,-0.315199953,-0.908169034,0.454064477,-0.226729475,-0.898791776
ASB6,0.39086428,-0.243066495,0.033893259,-0.198022282,0.618420282,0.253239973,-0.559963503,-0.076568582,-0.524059939,-1.365313789,-0.425815585,0.227020321,-0.214162698,-0.85667672,-0.371008344,0.430441964,-1.116116351,-0.137166722,-0.614492661,0.328957606,0.267322938,-0.617102675,-0.003870584,0.231106351,-0.49316399,-0.451281875,-0.3473846,0.12562802,-0.52917039,-0.196387694,-0.487875595,0.260301472,-0.831069493,0.290731182
ASF1A,0.657690256,-0.664992989,-0.219337819,-0.29878408,-0.528348527,0.197466736,-0.192658747,-0.885996943,0.44446969,-0.277668141,-0.82845418,-0.173455692,0.023245378,0.257789061,-0.21108949,-0.244463355,-1.258774694,-0.142181554,-1.012903596,-0.594426756,-0.150252937,-0.294501666,0.270471603,-0.471133154,-0.299093995,-0.224613567,-0.873060372,-0.503516416,-1.247529369,-1.345605585,-1.121052191,-0.369268747,-0.206084334,-0.178781958
ATHL1,0.10894917,-0.421213937,0.168050404,-0.007807464,0.477127663,-0.25832657,-0.188388031,0.180814207,-0.615690532,0.32304902,0.170663644,0.055544506,0.701823762,0.864037601,-0.059618022,-0.42397166,0.700958966,0.035162273,1.777968271,0.296026637,0.162066448,0.44273202,-0.042097582,0.098457317,-0.014707619,0.133226162,0.042748046,0.428838043,0.949812344,0.316707005,0.337975255,0.009590762,-0.792470867,0.454815294
ATP11B,-0.539500116,-0.285180894,0.349973578,-0.077648086,-0.32587447,-0.318173893,0.190521757,0.011646715,-0.494572588,0.751909211,0.943152857,-0.465572006,-0.783055532,0.35389765,0.50274583,-0.046537867,0.739771503,-0.272579744,0.749411472,0.050064592,-0.09513681,-0.567821438,-0.298254929,-0.242745186,1.139393195,0.539323288,0.239014054,-0.385507114,0.475717671,0.581245753,0.500677189,-0.259022131,-0.47026158,0.783173378
ATP5B,0.002014531,-0.040222401,0.145398065,0.353982721,0.32431478,0.202462899,-0.05488261,0.387409006,0.553412129,0.675009141,0.4984205,-0.202364054,0.215295603,-0.395399438,0.290372683,0.294543143,0.718413728,0.127010531,0.812955419,-0.124363995,0.250941364,-0.237199999,-0.109412334,0.437166507,0.564652232,0.279268314,0.616015592,-0.023886045,-0.460098664,0.791176186,0.337175671,0.620744672,0.075172612,0.503209504
BAZ2A,-0.372949746,0.481093532,0.930582504,0.945414719,-0.014987823,0.331117188,1.376916834,1.56240262,0.125123926,0.387131207,1.21778357,0.913770089,0.928977035,0.93947044,1.356613553,0.997704675,1.636004467,0.783062307,1.705733405,0.973357994,0.112961691,0.326780708,0.264701553,0.561704593,-0.134225017,0.935521385,0.42750737,0.901446138,1.83728208,2.113193899,0.859595597,0.89570553,0.178592382,0.930077843
