id,label,group,nodesize
URIC-ACID-N-O-O-O-TMS-1M/z72,URIC-ACID-N-O-O-O-TMS-1M/z72,5,2
CYSTINE-N-N-O-O-TMS-1M/z297,CYSTINE-N-N-O-O-TMS-1M/z297,5,1
SORBOSE-MEOX-5TMS_2-1,SORBOSE-MEOX-5TMS_2-1,5,1
LEUCINE--N-O-TMS-1M/z158,LEUCINE--N-O-TMS-1M/z158,5,1
TYROSINE-N-O-O-TMS-1M/z382,TYROSINE-N-O-O-TMS-1M/z382,5,1
NAPROXEN-TMS-1M/z303,NAPROXEN-TMS-1M/z303,5,1
INOSITOL--scyllo-6TMS-1M/z432,INOSITOL--scyllo-6TMS-1M/z432,5,1
ASPARAGINE-N-N-O-TMS-1M/z231,ASPARAGINE-N-N-O-TMS-1M/z231,5,0
ISOCITRIC-ACID-4TMS-1M/z466,ISOCITRIC-ACID-4TMS-1M/z466,5,0
LACTOSE-MEOX-8TMS_1-1M/z204,LACTOSE-MEOX-8TMS_1-1M/z204,5,0
