id,source,target,Weight,group
400,URIC-ACID-N-O-O-O-TMS-1-M/z72,MCP3,0.9949784808192679,0
401,NAPROXEN-TMS-1-M/z303,CSF-1,0.9504638780934417,0
402,NAPROXEN-TMS-1-M/z303,CCL3,0.9745833994900677,1
403,NAPROXEN-TMS-1-M/z303,CX3CL1,0.9640926838483221,1
404,NAPROXEN-TMS-1-M/z303,MCP-2,0.9600505578889499,0
405,OCTADECENOIC-ACID--9-(Z)-TMS-1-M/z222,OCTADECENOIC-ACID--9-(E)-TMS-1-M/z339,0.9926024580012719,1
406,PHENYLALANINE-N-O-TMS-1-M/z268,Beta-NGF,0.9869641483720221,0
407,PHENYLALANINE-N-O-TMS-1-M/z268,IL-18R1,0.9787135850108459,1
408,PHENYLALANINE-N-O-TMS-1-M/z268,CXCL6,0.9691177724221868,1
409,ACONITIC-ACID--trans-3TMS-1,CXCL10,0.9990509056261897,0
410,ACONITIC-ACID--trans-3TMS-1,MCP1,0.9561010650653605,0
411,GLYCINE-N-N-O-TMS-1-M/z246,TNFRSF9,0.9685680648442911,0
412,GLYCINE-N-N-O-TMS-1-M/z246,LIF-R,0.9749719737419517,1
413,LYSINE-N-N-N-O-TMS_2-1,MCP3,0.9515115967105501,0
