Probes,G104,G108,G109,G110,G113,G117,G123,G126,G128,G132,G133,G134,G135,G136,G139,G142,G144,G302,G303,G304,G306,G310,G316,G319,G328,G332,G337,G356,G358,G359,G360,G362,G363,G367,G373,G374,G375,G382,G383,G385,G386,G387,G390,G397
HDGF,-0.241846,0.321696,1.234117,-7.777452,-8.864505,-0.597832,-0.197376,-8.735513,0.260681,8.545623,1.266072,0.1344,2.854175,0.400808,-1.114206,3.362387,-1.104989,0.084831,0.124257,-1.022782,4.168764,2.219123,-7.382363,0.356445,-0.639866,-9.274602,-7.772962,3.081443,0.205034,-9.147246,-7.901356,-8.976105,-0.367124,-0.740128,-9.256767,0.475693,-2.627838,-8.029032,-2.02836,-3.712612,2.794371,0.469656,2.387889,-0.367696
HEXIM1,-0.279778,0.094829,0.126693,-0.633963,-0.208253,-0.383904,-0.378684,3.014093,-0.367524,0.372724,0.360321,-0.189677,0.029147,-0.024539,0.136633,-0.348827,-0.360795,-3.277287,0.301177,-0.775472,0.564269,-0.460304,0.097885,-6.544021,-3.402215,-0.675318,3.408571,0.096731,3.427264,-0.733893,-0.447995,-0.757364,-0.336607,-0.42031,-0.153516,0.217482,0.147303,-0.467855,0.701255,0.101591,-0.193571,-0.153277,-2.654341,-0.018914
HGF,-3.296496,0.129562,0.056494,0.137577,3.381429,-0.024665,0.000116,0.10709,-0.156296,0.076215,3.253073,-0.018026,-3.212645,-0.069705,0.088118,0.037343,-6.635549,0.022731,0.028515,-0.063419,-0.083171,-0.062593,0.109512,0.064831,0.051951,0.133642,-3.282356,0.035589,0.049137,-0.019784,0.0512,0.072616,0.011218,-0.009391,-0.11077,0.070934,-3.280846,-6.754997,0.090788,0.022813,0.051375,0.094936,-0.020369,0.086558
HNMT,-0.836021,-0.201435,0.206004,-0.810365,-0.564892,-0.144789,0.128552,3.524244,0.0,7.047635,-0.100555,-0.137715,-0.126917,-0.570025,0.072271,-0.324957,-0.424811,-0.242869,0.0,0.0,-0.274977,0.0,0.0,0.212553,0.0,-0.496582,0.0,-0.001668,-0.060227,-0.70872,-0.406677,-1.171714,-0.533084,-0.072241,-0.408832,0.325796,0.020449,0.647241,0.719604,-0.033925,0.0,-1.289748,7.095142,0.039804
HSD11B1,0.101601,-0.078603,-3.411071,-0.071319,-0.061946,3.330997,3.292439,0.083132,0.053456,-0.044509,-0.16012,0.084832,-0.032752,3.271554,0.110624,-0.068393,-0.030839,-0.21391,-0.025395,-0.027243,0.004794,0.009774,0.086341,-0.165688,0.050825,0.025548,0.168385,-3.522383,0.060606,0.074802,-0.092872,3.360304,-0.087729,-0.117923,0.114704,0.010805,-0.019765,-0.026769,0.174438,-3.346478,-3.349295,0.571652,-0.08367,-0.010556
ICA1,-7.419246,0.244132,7.622752,-7.691147,-7.357031,-0.248977,-6.690346,-7.665188,-4.101075,7.515596,7.656623,-0.136118,-7.532122,-0.381032,0.497718,-7.880805,-0.239936,-0.336526,0.186891,-7.549024,7.651806,-0.288767,-0.085981,0.318126,-0.049885,-7.974399,0.386609,0.023696,7.305759,-7.400547,-7.611114,-8.306629,0.0,-7.590164,-4.247033,0.379267,0.032928,-0.54416,5.222874,7.524903,-7.375373,-0.034387,8.116259,0.0
IFNLR1,3.031568,0.22084,-0.47281,0.011906,1.808265,6.916221,0.039393,-0.316071,0.0,-1.06296,-7.027512,0.612713,-6.923994,-0.128131,0.419367,-0.401371,-0.251265,-1.127664,1.082616,-0.417951,-1.745088,0.503139,0.764814,1.507101,0.0,0.0,0.981275,-0.391022,0.127055,0.386317,0.0,-0.027164,-1.101367,-1.814196,0.09496,-0.163168,-1.024435,0.0,7.602031,-0.989062,0.0,-0.898179,0.033046,-0.046012
IGFBPL1,-0.146981,-3.6674,-3.298043,0.075746,0.060545,-0.041122,-3.376182,-0.187521,-0.008733,0.003495,0.008131,0.422155,-0.148119,-0.099957,0.256813,-0.036745,-0.141379,-0.290915,-0.10766,-0.132603,-0.00413,0.068361,-0.071833,3.413587,-0.135391,-0.133205,0.056597,-0.165162,0.063175,-0.057095,3.285992,-0.10159,0.141273,-0.087985,-0.02992,-0.345129,0.007246,0.138418,-0.065913,-0.028861,0.139957,0.433254,0.037662,-3.364537
IL10,0.958553,0.530764,0.583781,0.704909,1.054148,-0.130367,0.731556,1.091545,0.558722,-2.472616,0.129654,0.212633,0.005394,0.098293,0.494414,0.181591,0.377402,0.782927,0.823594,1.091492,0.563067,-3.133771,0.321391,0.966114,0.639931,-3.396525,0.516707,0.845738,0.768461,0.211738,-0.019381,3.945742,0.000796,0.276114,0.076402,0.332443,-0.019942,-0.070923,-0.01934,0.483629,0.079324,0.53928,0.291032,0.338576
IL-10RB,-0.035046,-0.136318,-0.100065,0.01088,-3.230268,-0.018712,-6.628602,0.21966,-0.076911,-0.053973,-3.350607,-0.025566,0.140723,-0.061253,-3.06531,0.017459,0.066271,-0.036,3.349985,3.339631,-0.088823,-0.107526,6.533786,3.400333,0.07052,-3.309886,0.032172,-0.029501,0.02493,-0.025903,-0.073157,0.070986,-0.011287,-0.094461,-0.095571,0.087386,0.010035,-0.083056,0.044255,0.060667,0.106573,0.042198,3.367278,0.14393
