Probes,G104,G108,G109,G110,G112,G113,G117,G123,G126,G128,G132,G133,G134,G135,G136,G139,G142,G144,G302,G303,G304,G306,G310,G316,G319,G328,G332,G337,G356,G358,G359,G360,G362,G363,G367,G368,G373,G374,G375,G379,G382,G383,G385,G386,G387,G390,G391,G395,G397
CCL4,0.217456,-0.003204,-0.026102,0.180461,0.009727,0.060069,-0.127417,-3.16684,0.304778,-0.255078,3.380985,0.144468,0.047048,3.628681,0.049552,-3.296821,-0.141977,0.185698,-3.448125,0.004261,-0.351447,0.125084,0.200284,-0.221742,0.025348,0.077937,0.329082,-0.000419,-3.313198,3.180482,0.115089,-0.444573,-0.126699,0.030731,-0.080435,0.044494,0.120733,-6.760775,0.127304,0.064963,0.251451,0.025783,0.145764,0.269354,-3.289371,-0.027662,-0.0471,0.168548,-3.048849
STAMPB,0.041821,0.167365,-0.140566,-0.427233,-3.874197,0.348476,-3.555894,0.245357,-0.248977,-0.090471,-3.513398,0.681541,0.24249,0.155575,0.236318,-0.741343,-3.453066,0.612315,-0.869414,3.002982,-0.673433,0.03752,-3.911521,-0.029434,-0.546931,3.006027,-0.414634,0.359349,0.320482,-0.089207,-0.530315,-3.625111,-3.818942,0.16655,3.548043,-0.138031,-0.144355,-0.210108,3.536646,-0.005022,-0.002732,0.625791,-0.266686,0.152499,-0.052875,-3.195638,-0.146775,-0.205712,0.472018
DNER,-3.32729,-0.068546,-0.039257,-0.043506,-0.060863,-0.103162,0.01649,0.072241,0.178924,-0.044533,0.034175,3.319925,-0.02882,0.094188,0.035791,0.014948,-0.105704,0.028123,-0.053938,0.064304,3.334617,0.000899,0.02473,3.236788,0.088354,0.026731,-0.006043,0.011843,-0.008572,3.344947,-0.035023,-0.174075,0.012644,-0.00456,-0.046496,0.027323,-3.361052,-0.012187,-0.038868,0.088863,0.032796,0.043,0.06276,-0.013961,0.001964,-3.364044,-0.004133,-0.036432,-3.233573
IL-18R1,0.109414,6.717327,0.027735,0.070351,-0.095432,-3.299511,0.165137,0.204521,0.352387,-0.015912,0.146483,0.034161,-0.03027,0.16479,-6.590142,0.045704,-0.106802,0.067968,0.063888,0.122763,-3.426162,-0.076667,3.57894,0.10083,0.088073,0.11578,0.222765,0.203867,0.096172,0.237428,0.010318,-0.173501,-0.104763,0.024578,3.336299,0.101717,0.013863,0.01911,-0.012425,0.144686,6.716731,-3.223237,0.110471,0.080128,0.063332,-0.041893,3.393068,0.018769,0.156173
LAPTGF-beta1,0.120358,-0.028876,3.224206,-0.238062,-0.141024,-0.018951,0.211954,0.072131,0.089875,0.012826,0.288302,0.038908,-0.032594,-0.0366,0.03545,-0.251826,3.242016,-0.348979,-0.370595,0.014414,-0.04868,0.070695,-0.137559,-0.057362,-0.016385,0.16362,-0.100823,0.325149,-0.024152,0.05003,0.057017,-0.243927,-0.046541,-3.303361,0.110029,0.083456,-0.046449,-0.210535,0.241114,0.08842,0.071707,0.064604,0.122155,-3.309554,-0.061823,-0.136886,-0.188154,0.085051,0.28318
CCL23,0.046735,-9.953572,-9.841515,3.320442,0.075858,-3.157099,9.884753,-3.297714,-9.85601,-0.036841,0.051641,9.963993,-0.073676,0.127419,3.353406,-0.016918,-0.083346,0.067978,0.00043,3.390598,3.302541,0.039127,0.019359,-0.077382,0.084403,-3.299615,0.038215,-3.236501,0.038674,-9.725666,-0.008462,-3.465646,9.913928,0.00116,9.924125,0.075916,9.915698,0.023396,-0.080184,3.404729,0.069072,6.619841,-9.867627,-0.010972,0.0189,-3.329125,0.027695,-0.05461,0.033844
MCP1,0.37158,0.249192,0.225465,0.159844,0.38448,-9.582978,-0.070561,0.24668,0.331899,0.046607,0.238423,-6.380848,0.158671,0.168365,0.211504,0.140129,0.104772,0.32899,0.116035,0.18861,-0.105702,-9.705837,0.239207,0.026919,-9.617837,0.291246,-6.380109,0.230006,0.243867,0.244111,0.204764,0.019452,0.11348,6.921518,0.030697,0.167369,0.251539,0.171313,6.893496,6.725017,0.300405,0.207898,0.144453,0.265648,0.176614,-6.510029,0.133495,0.228075,0.29906
CD40,0.045354,-0.043786,6.550948,0.045309,-0.06739,-0.036118,0.005619,0.04718,-9.870944,9.822578,-3.270002,-0.002796,-0.017209,-3.277134,0.037224,-0.060151,6.547871,0.022136,0.023019,0.019721,-0.00073,0.003602,9.89893,-0.033455,0.123912,0.004275,-9.899411,-0.019304,-0.013396,0.022712,9.923797,-0.120708,3.341127,3.320875,-0.022742,0.018183,-0.030846,9.930617,0.011349,-3.237185,0.021227,0.030786,-9.906742,0.107864,0.01583,6.61052,0.034865,-0.017348,3.412628
MCP-2,-9.572683,0.212736,-9.73632,0.1649,0.163828,0.047245,-6.274604,0.243996,0.290338,3.439256,0.202395,0.365439,-9.705302,-9.803446,-6.310003,0.105657,0.22873,0.249441,-3.146897,6.978852,0.284741,-9.65915,0.170676,0.184583,3.817239,0.079337,-9.797132,-9.575906,-9.632507,0.162552,0.08903,3.598091,0.087461,0.152725,-2.999338,-9.744336,-3.094159,0.099459,0.154439,-9.561238,0.319823,3.490394,0.173329,0.11749,-0.018457,0.307701,0.147865,-9.650353,0.521557
TNFRSF9,0.091686,-0.046116,-0.080705,-3.339961,0.094535,0.127634,0.00769,0.142914,0.089564,-0.084331,0.039028,0.026601,0.03827,-0.064894,3.438017,3.256474,3.460988,0.058111,-0.120102,0.130274,0.063018,0.044957,-0.241172,-0.003041,0.02198,0.071018,-0.007813,0.2706,-0.021493,0.09873,-0.170215,-3.245992,-6.689418,0.135992,0.033133,3.376279,0.10495,0.104912,0.147432,-3.25846,0.011242,0.052258,-0.018855,0.0651,-0.365214,0.002601,-0.073926,-0.015556,0.174591
