Probes,G103,G104,G108,G110,G111,G114,G119,G120,G124,G126,G130,G134,G301,G303,G305,G310,G313,G314,G315,G317,G318,G322,G323,G325,G328,G332,G337,G338,G355,G366
hsa_piR_004801_DQ576605,-2.205398,2.643026,-4.114355,-0.124659,1.745202,3.173744,-5.462827,-3.40162,-0.542516,2.62554,2.137255,-3.199708,0.110754,2.78219,-0.123537,1.66442,0.526907,2.715971,-2.433157,-0.335086,-4.002875,-1.092498,-1.865645,-6.071029,-3.964227,-3.353124,-5.286065,0.545377,-4.817427,1.591375
hsa_piR_004895_DQ576731,-5.641455,-0.164329,-4.184471,0.185681,-0.552479,-0.670605,-0.894353,-6.077385,0.521614,0.231626,1.896247,0.259724,0.110754,4.739121,-1.150009,-0.667423,5.090398,1.551062,0.649305,-0.619229,-0.30773,0.040769,-0.406213,-3.153491,0.2837,0.044312,-0.198602,-0.00211,-8.086311,-0.080003
hsa_piR_004918_DQ576766,-0.8341,3.643026,-1.097008,0.185681,-0.552479,-0.670605,4.427575,1.922615,0.521614,0.231626,1.896247,0.259724,0.110754,-0.305273,-1.150009,-0.545433,-0.582028,0.515438,-3.672623,-0.619229,-0.30773,4.040769,-0.406213,-2.684006,0.2837,0.044312,-0.198602,-0.00211,1.541527,6.00746
hsa_piR_004962_DQ576828,-0.8341,3.53611,-1.097008,0.185681,-0.552479,-0.670605,5.036384,0.244543,0.521614,0.231626,1.896247,0.259724,0.110754,-0.305273,-1.150009,-1.467125,-0.582028,0.515438,-3.051134,-0.619229,-0.30773,0.040769,-2.183821,1.016434,0.2837,4.503743,-0.198602,-0.00211,-1.296855,6.474586
hsa_piR_004987_DQ576872,0.085729,-0.184507,1.22492,0.269339,3.576804,0.716418,-0.479316,-0.003385,-0.034779,-0.020916,-0.439356,1.361262,1.506682,-0.082881,-0.463509,0.856139,0.102471,0.820293,-1.063413,0.763241,-1.550773,2.095217,0.503589,0.384166,-0.760694,-0.086933,0.998435,-0.175442,0.256398,2.035475
hsa_piR_005531_DQ577598,2.920787,-0.164329,2.710347,1.770644,5.955316,-0.670605,-0.894353,-5.181722,0.521614,-2.090302,-1.425681,0.259724,0.110754,6.087044,-1.150009,-0.667423,5.484062,2.66228,0.649305,-2.899337,-0.30773,0.040769,-2.406213,-3.507128,0.2837,-6.241091,-0.198602,-0.00211,-5.622478,-0.080003
hsa_piR_005799_DQ577967,0.078437,-0.594964,0.27926,0.853106,-0.796148,0.042774,0.41583,1.452138,0.727556,0.07782,0.64832,0.373381,-1.202663,-0.305273,0.940593,-1.270352,2.002935,-0.316164,0.446812,0.550696,0.533904,0.497976,-0.505749,1.03846,-0.874665,-1.377152,0.394773,0.054473,0.741825,2.401739
hsa_piR_005983_DQ578216,-0.8341,-0.061518,1.505028,0.857058,-1.832587,-6.714999,-0.894353,1.244543,0.521614,-2.227806,-3.103753,-0.083578,0.373788,-8.066824,-1.150009,0.400748,-4.453513,-1.020615,-5.132054,0.982222,-0.923389,-0.493568,-0.406213,-1.498139,0.213065,1.739457,-0.298138,0.734855,-1.4281,-0.080003
hsa_piR_006426_DQ578783,-0.997599,-1.842401,1.809883,-1.055327,-4.252919,-6.77913,2.515038,-0.755457,0.821175,-6.958199,6.754228,-9.515063,-2.852721,-2.585381,-2.354368,-0.082461,0.559328,0.89395,-5.183585,1.199531,-2.269547,5.326171,-0.262849,-0.205959,1.2837,-0.679171,0.067132,1.683016,-2.341563,1.510477
hsa_piR_006465_DQ578832,2.571892,1.318453,-0.558588,0.472562,-1.02641,-0.452425,-0.00983,0.93642,-0.804372,0.333987,-0.21923,3.166615,-0.462432,-0.305273,0.69021,-0.824965,-4.041459,-0.584098,1.520572,1.175951,0.033307,0.952232,2.178749,0.97204,0.36943,-1.396261,0.231082,1.206476,1.142436,1.608053
hsa_piR_006763_DQ579238,3.315647,-1.164329,-1.097008,-7.368908,-1.122795,-0.670605,-0.894353,-0.477923,0.521614,-2.768374,-1.273678,0.259724,0.110754,-0.305273,-1.150009,-0.667423,-1.582028,0.515438,-2.350695,-0.619229,2.914662,1.653746,-0.406213,0.016434,0.2837,-1.447542,-3.368527,-0.00211,-1.4281,-0.080003
hsa_piR_006897_DQ579406,-0.249138,0.935206,0.125384,0.586219,-1.667956,-5.47796,0.216071,0.244543,0.226537,0.288209,0.667978,4.067079,1.110754,-0.585381,-1.7431,-1.118085,-1.043932,0.045953,2.021274,-1.689618,-0.12876,0.040769,0.357086,5.103897,3.868663,-1.540651,-1.47871,0.196669,-0.822014,0.656963
hsa_piR_006976_DQ579517,-0.8341,-0.164329,-0.097008,0.417007,-4.552479,-0.670605,4.833567,-1.184301,0.521614,-2.938299,1.896247,0.259724,0.110754,-5.305273,-1.150009,-0.667423,-5.711311,-1.410561,-4.905284,-0.701691,1.794632,3.362697,2.488604,-3.071029,0.2837,-0.781659,-5.286065,-0.00211,-1.977438,5.167925
hsa_piR_007559_DQ580307,-1.716264,-0.801759,-0.487798,-0.155356,1.935808,-5.528586,-2.368892,-3.584345,0.75608,1.646663,1.339854,0.554922,-0.057583,1.177617,-2.573221,-0.95693,-0.133567,1.651215,-4.52062,-0.179697,-2.573075,-0.346254,-1.023966,-0.749101,0.662212,-2.931441,1.386361,-0.135377,-3.044771,0.009265
hsa_piR_007937_DQ580794,5.048543,-0.164329,-1.097008,2.507609,-3.137441,-0.670605,-5.938747,0.244543,-1.398951,-5.125926,1.896247,0.259724,0.110754,-4.475198,-2.931369,-0.667423,-0.582028,0.515438,0.649305,-1.384764,-0.30773,0.040769,-0.406213,1.016434,0.2837,-2.955688,-0.198602,-0.00211,-1.4281,-0.080003
hsa_piR_008026_DQ580917,2.625331,3.835671,0.980995,4.709243,4.534984,-0.670605,1.111547,0.244543,-0.990836,6.089607,1.066172,5.389007,-0.09278,-0.305273,0.76982,-0.69439,-3.389383,-2.600039,-4.257585,1.058843,1.267582,2.5002,1.10836,4.186359,-0.473029,2.629274,5.010852,-0.00211,2.18661,2.064387
hsa_piR_008112_DQ581031,0.908503,-0.328834,0.19924,-0.300805,1.044584,0.531391,0.019932,0.665922,0.474502,-0.148125,0.109764,-1.002756,0.257517,-1.659326,1.069386,0.063874,-0.624215,-0.870453,-0.253903,0.415878,0.597423,-0.227997,0.595649,-1.007872,0.443829,1.068514,-0.840919,0.58972,-0.047617,0.666836
hsa_piR_008113_DQ581032,-0.120705,-0.170358,0.108362,-0.320354,0.444146,0.242222,0.13277,0.898674,0.163603,-0.162879,0.290393,-0.635764,0.088558,-1.366912,0.185413,-0.478096,-0.730891,-0.502709,-0.86647,0.395079,0.580595,-0.031988,0.466282,-0.37748,0.058848,0.250486,-0.534393,0.32716,0.277183,0.20055
hsa_piR_008114_DQ581033,-0.041758,-0.495323,0.188747,-1.059896,0.237803,0.81878,-1.220498,1.816794,0.034954,1.25029,-0.214177,-0.636631,-0.304284,-6.141775,0.185813,0.305942,-1.195004,-0.593086,-0.319998,0.242251,0.662399,-0.766586,0.115739,-0.094597,0.205416,0.349166,-0.420994,0.52599,0.010342,0.086247
hsa_piR_008983_DQ582175,-0.8341,5.327524,0.487955,5.185681,-0.552479,-0.670605,0.690609,0.244543,0.466473,0.231626,1.896247,5.389007,1.619767,-0.305273,2.4588,-1.228539,-0.582028,0.056007,-3.874257,-0.17177,0.177697,3.741208,3.763712,3.601396,-0.952367,4.567873,4.26083,-0.00211,0.941134,6.563854
hsa_piR_008984_DQ582176,-0.8341,-0.816406,1.260544,-1.183553,-4.722404,-0.670605,4.913002,0.544103,0.521614,-4.353337,1.896247,0.545126,0.558212,-5.434556,-1.150009,-1.252386,-0.582028,-2.020615,0.649305,-2.493698,-0.784168,0.040769,0.646254,1.823789,-0.038228,-2.540651,0.131547,-0.00211,-1.4281,-0.080003
hsa_piR_009154_DQ582400,-0.952745,-1.299489,0.513046,0.065387,-1.955835,2.057315,-1.426074,1.074618,0.448683,1.646663,1.741273,1.774297,-0.753185,-1.392736,0.618399,-0.636617,-3.132225,-0.654487,0.796862,-0.470366,0.532792,-0.18805,1.812955,0.094436,1.029517,-0.218723,1.081506,0.036709,-0.559605,2.389112
hsa_piR_009228_DQ582496,-0.018525,-1.132149,-0.644496,-1.350372,0.591911,-5.880059,2.717715,-1.697354,1.124955,-2.130143,-0.770509,-5.514464,-1.567318,-3.179742,-3.36771,0.580504,0.167994,0.19351,-4.257585,0.914203,-3.354694,-1.807228,0.10836,-0.909566,-4.108617,-1.637513,-1.268991,1.65814,-0.640508,2.466632
hsa_piR_009295_DQ582567,1.487828,0.024705,0.967122,-1.136247,-0.830013,-3.47796,-0.157388,-0.34042,-0.66281,-1.635539,-0.266691,1.155888,-1.256029,-1.598055,-1.438135,-0.870957,-1.041459,-1.484562,-3.743012,0.621779,-0.240616,-0.19627,0.749065,2.716874,-1.156872,0.629274,0.922585,-0.32695,1.023596,-0.708034
hsa_piR_009903_DQ583334,-0.679772,3.146458,0.912976,-0.092854,-1.406089,-1.759142,4.629209,0.782963,0.521614,0.401551,6.703602,0.259724,-1.474209,-0.774759,-1.150009,-0.791159,-2.845062,-0.732489,-0.765732,-0.452579,-0.30773,0.881291,-0.225641,0.396706,-1.938692,-0.877686,-1.701102,-1.101646,2.989753,0.335035
hsa_piR_010098_DQ583597,-1.319527,-0.164329,-3.68197,0.185681,1.373521,-0.670605,-4.396853,0.244543,2.981046,1.231626,1.896247,0.259724,0.110754,0.23078,2.55043,-0.667423,-0.582028,1.293046,0.649305,-0.619229,-3.115085,-0.959231,-2.991176,1.016434,0.2837,-5.084972,-0.198602,-0.00211,-5.366699,-0.080003
hsa_piR_011094_DQ584967,-0.8341,-0.164329,2.362424,0.185681,-0.552479,-0.670605,4.171736,0.244543,-0.478386,0.231626,1.896247,0.259724,0.110754,-0.305273,-0.281254,-0.667423,-0.582028,0.100401,-5.500442,-0.619229,2.909501,4.362697,-3.406213,1.016434,-5.906124,0.044312,-0.198602,-0.00211,-0.369206,3.379429
hsa_piR_011122_DQ585010,-1.529246,-0.164329,-4.904363,0.185681,5.597268,-0.670605,-8.509063,-4.170495,0.521614,5.846336,1.896247,0.259724,0.110754,-0.112628,-1.150009,-0.667423,5.372169,1.167515,0.649305,-0.981799,-0.30773,0.040769,-4.313104,-3.684006,0.2837,-5.277617,-0.198602,-0.00211,-4.029004,-0.080003
hsa_piR_011174_DQ585078,-0.8341,-0.164329,-1.097008,0.185681,-0.552479,-0.670605,3.105647,0.244543,0.521614,-1.048482,1.896247,0.259724,0.110754,-0.305273,-1.150009,-0.667423,4.587897,-3.876879,0.649305,-0.619229,-6.994231,0.040769,-3.865645,1.016434,0.2837,0.044312,-0.198602,-0.00211,6.852671,-0.080003
