Probes	G104	G108	G109	G110	G112	G113	G117	G123	G126	G128	G132	G133	G134	G135	G136	G139	G142	G144	G302	G303	G304	G306	G310	G316	G319	G328	G332	G337	G356	G358	G359	G360	G362	G363	G367	G368	G373	G374	G375	G379	G382	G383	G385	G386	G387	G390	G391	G395	G397
CXCL9	0.128362786	0.007632569	0.102337922	0.072799899	0.360362239	0.192189113	6.000753243	0.159233132	-2.922137487	-0.070428512	3.488279858	0.077078982	-0.003377318	0.181518358	0.088915574	0.082350419	-0.099058162	0.208742937	0.031158195	3.437114921	-0.271441045	-6.625347227	3.564177013	3.185548856	-3.527594605	3.419336506	0.408920523	-0.023979384	-0.00480264	-2.985994815	3.307535525	-3.526644859	0.066166393	0.080665054	3.279882945	0.135006196	0.041238089	0.017398064	0.06501502	0.066458863	-9.289021287	-9.67546741	0.101175997	-6.533239429	0.114503406	-0.038048882	0.245538789	0.048678192	0.269462652
OPG	0.070357116	-0.057072424	-0.015951994	0.053144413	0.081820971	-3.221040368	0.038895196	0.06571539	-3.258629016	-0.044436601	3.328846299	0.138490941	-0.062769777	0.051026566	-9.875362029	-0.001236584	-0.040821868	-9.931901755	3.32767791	0.045691129	0.054645197	0.019991121	0.025404127	0.036726914	0.016022866	0.09648084	0.097001525	-6.515485955	-3.260939189	0.083114847	0.020324577	3.193308208	-0.022620248	0.105872582	0.076877985	0.058653702	0.072839842	0.01459959	-0.079771072	9.881267704	0.037501886	-3.312070315	-9.819664963	-9.862764823	9.877971662	-0.087041013	0.019121212	0.028867675	6.763807532
IL18	-6.579866935	-0.011243505	0.089540816	0.078118636	-0.061725986	0.07981878	0.094846853	0.069777698	0.287647725	-3.368538032	0.151179014	0.016071157	-0.05304385	0.147101201	0.091506487	0.063280153	-0.122912948	0.052105207	0.023976464	-3.160517404	-0.025380303	-0.019795678	-0.082818842	0.137778216	0.211105023	3.409511625	0.218551812	0.02339986	0.028751355	0.146389762	-0.025092373	-0.184395285	0.058237166	-6.616826544	0.012559148	0.162656836	-0.016809156	-3.295589514	-0.00475355	0.15579065	0.07083452	0.116372887	0.103606004	0.053663021	0.083262685	3.282454685	-3.254756234	-0.023725272	0.161499343
IL-12B	0.260954419	-3.098640376	-3.09883439	0.185890664	0.027880415	3.72705361	-0.000786272	0.34165292	0.530614864	-0.078802267	0.232504809	-3.120534303	0.141020749	3.451039475	0.15275858	0.188544993	0.047089307	0.318847896	0.085656259	0.184517702	3.209693374	0.264837985	0.178690626	0.052510235	-2.667680791	3.625662143	0.429534653	-0.099485541	3.340831192	0.187117844	3.483416717	-0.081069209	0.429310395	0.208321208	3.31617838	0.225434023	0.34243346	0.197735789	0.167735796	0.282573158	0.241089157	0.207451262	0.164847393	0.320273774	-3.176071253	-0.00683427	-3.01988625	0.15938804	0.365338953
RANKL	-0.025838886	0.115356594	-0.282159553	-0.21126757	0.171477678	-3.291427461	-0.511033881	0.2409531	0.568652452	-0.039029224	-0.422553214	0.208714264	0.115262818	3.525441946	-0.103288464	-0.007326487	-3.875349122	-0.108313401	-3.069056755	0.07947611	-2.684327319	0.180879723	0.164602229	-1.206978928	0.452722327	-0.11159213	0.126018698	-0.266023904	-0.28165874	-0.21127013	0.027300371	6.104183149	-0.227612378	0.050200875	-3.554315738	0.106932365	2.992870255	-0.027539372	-3.432360169	0.192896972	-3.339764002	-0.078712234	0.144332864	0.19643998	0.087101676	-0.096309145	-0.088304499	-3.550371647	0.093662714
CDCP1	0.093371247	0.104971629	0.090210901	0.587986095	0.712750328	3.63437765	-0.023298783	0.49289675	0.367164806	-0.071234693	-0.291207794	0.667326523	-0.448824161	0.616070714	-0.040604903	-0.521562849	0.145386738	-0.84678439	-3.267325533	-2.645053156	0.249570372	0.150791203	-0.223939067	0.209999929	-3.29741972	8.399236934	0.502044173	1.173339946	0.05371509	-6.402652063	0.225336661	0.125095252	-0.108471807	-0.010644359	-0.21753354	0.602597136	-2.585232635	3.285667334	-0.24464232	0.935394181	3.386765543	0.4396835	-0.17327877	-0.367448188	-0.197003789	0.398693042	0.490559464	3.284237814	0.530972847
MMP-10	0.065753552	-0.161125935	-0.15375113	-2.939887105	0.117830353	0.135878177	-0.311162059	-0.292152167	0.155034594	0.013612962	0.010818575	0.033450138	-0.141981713	0.158609213	0.060365883	-0.036483294	-0.220617111	0.019101763	-0.09109536	3.400294896	3.296299452	2.827556622	0.133518401	0.341173064	0.02119567	0.038482028	-0.034206345	0.096034089	0.164053443	-0.062388655	0.070602395	-0.256744341	-0.029679541	-0.016666603	-0.011620222	-0.016218813	-0.111194017	-0.059246219	-0.114400551	-3.261773544	3.4936203	-3.409378523	0.190778856	-0.031010439	-0.007124969	-0.04773236	0.003865587	-0.143981233	0.202249865
PD-L1	6.934085117	0.030718956	-0.001949385	0.089315376	0.15683433	0.1968156	-3.447519792	-3.157314454	-2.875287356	3.233835554	0.158747721	-3.142442887	0.104784108	-3.01494228	0.136138136	0.142195434	-0.161268086	0.266547647	0.104172072	0.348724036	-3.401874792	-0.02568187	0.211095085	-3.485578846	0.365274137	-3.115351383	0.115090457	-0.030636404	0.170550554	0.053685212	0.140156092	-0.473533875	0.162894083	3.410905092	-3.402383584	3.381661278	3.412190188	0.002325006	0.123496658	0.071982398	3.625367997	0.137094169	0.275467575	0.194788221	0.105119303	-0.115900244	0.161916646	-0.021833351	-2.914893628
CD244	0.014928486	3.287396313	-0.120619047	-0.035033519	0.092568869	0.120942549	0.009905486	0.083373037	0.077467061	-0.063204304	0.065865083	-3.2571187	-0.110905444	0.007289345	0.010604263	-0.090190385	-0.078610226	3.275399856	-0.106114771	0.10473497	0.029734238	-0.021361899	-3.479596882	-0.039743842	-0.043631589	-0.031270623	0.024147394	0.22180609	0.035920048	0.042577453	0.038412434	-0.291919186	-0.114652236	0.010089868	0.2354386	0.015206152	3.376807581	3.337007229	-3.470399898	0.213653819	3.305634781	0.156881346	0.163679348	0.017122278	3.328390703	-0.008020913	-0.147060815	-0.030584735	-3.198217771
ST1A1	-0.044676353	0.176622249	-0.971081613	-1.608734673	-0.993842721	4.018259101	0.307167356	-0.393419294	-0.500065378	-1.548889402	-0.59373819	0.838531068	0.169316889	7.377260771	7.351954108	-0.830423514	-0.191819054	0.009070266	-8.548113349	7.649821626	-4.834158838	7.917641149	-8.221919274	0.340189227	-8.350434438	-0.710040776	-1.375035973	0.512535864	8.397814369	0.327241152	-7.995988532	-7.750446578	-4.331014652	-0.162975641	0.315322955	0.163607542	-0.315047903	-0.257494377	3.718642762	7.715400466	-0.009941571	7.947365506	-7.855005933	0.415141107	-0.303448699	-0.244413403	0.300115653	-0.95352303	9.335389588
IL6	0.39819787	-0.030551823	-1.573737637	0.75001103	0.201696421	-0.768596786	3.86391813	-0.509023902	-0.146023274	-3.545614389	-0.192523242	3.351825073	3.996496377	1.074712964	0.186384972	-0.906597888	-4.432153629	-0.313951736	0.0942925	0.360470432	0.397563044	0.199754902	-0.377873615	3.644918992	3.42823229	4.612618909	-0.026421089	3.996741009	-4.319482024	0.853770145	4.295889928	3.687183738	-0.033277094	-0.035513532	-0.547876269	3.946692215	-0.645923066	-0.141873259	0.011550863	1.191985037	0.578179864	-6.202391981	0.453547106	-0.117902973	-1.004229272	-0.740446827	0.336808825	0.337814822	0.771950566
Beta-NGF	1.184726052	-7.219012952	-0.349889552	-0.183396742	0.386952907	0.052078597	-1.333582792	1.751691363	7.650508163	-0.681241616	0.087301606	-0.146241303	-0.642628172	0.384241924	0.238335494	-7.058037129	-0.180437698	-0.205590567	-0.350463962	0.854588773	-0.389980781	0.635370185	-1.64045616	-8.102902093	1.179782481	0.370649172	-0.001978178	-0.411706468	-0.173231248	-0.004340043	-0.224738264	-3.156265989	-0.048507561	-0.529795713	-0.171571847	0.650729952	-0.41119765	-6.769714318	-0.165641759	0.559553701	1.095922887	0.310970283	7.283400073	-1.271029555	-0.119091385	-0.178937703	-1.214981467	-0.33196169	1.224659249
CXCL1	0.179190694	-6.605935518	-0.054221639	-6.533530337	-9.834916206	0.122481493	9.930481955	0.124602495	-9.912181504	9.772136404	-9.868137625	9.932033955	3.359325818	0.035066683	0.10848463	3.447185215	-0.081957999	3.371268653	-9.870325774	-3.334372642	-0.010592753	-3.195190944	-0.021874533	9.849742738	-9.739463984	0.05823233	-6.502520999	0.088115323	-9.870837181	0.040770057	-0.025180012	-0.14495059	0.052703927	-0.04016611	0.048862267	-0.005124794	-9.911519196	3.240992545	-6.613396512	-9.886420368	-9.903415819	3.258901992	0.132042379	3.372918133	0.107837806	0.086016184	-6.649718709	0.046963016	0.216006399
EN-RAGE	-0.321991026	-6.961612963	-1.24803404	0.003355305	-0.235082725	1.973549931	-0.913844558	-0.338375912	3.382760451	-1.262286783	0.212853645	-0.347462072	6.387776798	-0.281960781	0.125517238	-1.405861072	-8.828428501	-0.405386211	-0.070823672	-0.585949988	0.046238942	0.178616999	-0.931399524	5.62309458	0.134020891	-0.162579912	0.073005378	-0.472616564	-0.787224277	-0.1644816	-3.857845913	-0.635247465	-0.429378725	-0.622205356	0.046903488	-0.275608814	-0.258700386	-0.98558643	-0.048075579	3.31677361	-0.187687647	-0.748141735	0.263974372	-0.432491056	-3.097168579	-0.405778693	3.341285763	-0.291079811	0.960429984
