Probes	G103	G104	G108	G110	G111	G114	G119	G120	G124	G126	G130	G134	G301	G303	G305	G310	G313	G314	G315	G317	G318	G322	G323	G325	G328	G332	G337	G338	G355	G366
hsa_piR_004987_DQ576872	0.085729274	-0.184507115	1.224920139	0.269338965	3.576804178	0.716417983	-0.479315619	-0.003384817	-0.034778976	-0.020916271	-0.439355698	1.361262065	1.506682186	-0.082880843	-0.463508831	0.85613866	0.102470566	0.820292746	-1.063412741	0.763240653	-1.550772984	2.095216546	0.503588846	0.384165676	-0.760693783	-0.086933033	0.99843502	-0.175442083	0.256398355	2.035474662
hsa_piR_005531_DQ577598	2.920787125	-0.164329233	2.710346967	1.770643536	5.955315802	-0.67060514	-0.894353117	-5.181722059	0.521614372	-2.090302333	-1.425680761	0.259724039	0.11075351	6.087044159	-1.150009359	-0.667423294	5.484061582	2.662279553	0.649305307	-2.899336903	-0.307730055	0.040768761	-2.406213345	-3.507128064	0.283700336	-6.241090718	-0.198601827	-0.002110481	-5.622477864	-0.080002556
hsa_piR_005799_DQ577967	0.078436781	-0.594963588	0.279259975	0.853105697	-0.79614792	0.042773634	0.41582977	1.452138115	0.727556274	0.077820425	0.648319821	0.373380821	-1.202663086	-0.305273264	0.940593191	-1.270352342	2.002934892	-0.316164304	0.446812443	0.550696018	0.533904351	0.497975715	-0.505749018	1.038460198	-0.87466526	-1.377152268	0.394772914	0.054473048	0.741825183	2.401739225
hsa_piR_005983_DQ578216	-0.834100377	-0.061518428	1.505028059	0.857058289	-1.832586758	-6.714999259	-0.894353117	1.244542696	0.521614372	-2.227805858	-3.103752666	-0.083577707	0.373787916	-8.066824496	-1.150009359	0.400748207	-4.453512869	-1.020614736	-5.132054407	0.98222164	-0.923389351	-0.493567666	-0.406213346	-1.498139281	0.213064793	1.739456918	-0.2981375	0.734855114	-1.42809982	-0.080002556
hsa_piR_006426_DQ578783	-0.99759911	-1.842401138	1.809882641	-1.055327063	-4.252918556	-6.779129596	2.515037818	-0.755457304	0.821174655	-6.958198798	6.754228328	-9.51506302	-2.852720614	-2.585381183	-2.354367857	-0.082460795	0.559328241	0.893949788	-5.183584707	1.199530702	-2.269546859	5.32617098	-0.26284917	-0.20595853	1.283700336	-0.679170865	0.067131729	1.683016182	-2.341563069	1.510476949
hsa_piR_006465_DQ578832	2.571891982	1.318452873	-0.55858804	0.472562184	-1.026410027	-0.45242497	-0.009830336	0.9364204	-0.804371938	0.333987479	-0.219229883	3.166614635	-0.462431823	-0.305273264	0.690210198	-0.824964572	-4.041459228	-0.584097509	1.520571993	1.175951225	0.033306865	0.952232087	2.178749155	0.972039773	0.36943021	-1.396261091	0.231082449	1.206476142	1.142435611	1.608053437
hsa_piR_006763_DQ579238	3.315646742	-1.164329232	-1.097007955	-7.368907817	-1.122794564	-0.67060514	-0.894353117	-0.477923328	0.521614372	-2.768374238	-1.273677667	0.259724039	0.11075351	-0.305273264	-1.150009359	-0.667423294	-1.582027608	0.515438164	-2.350694693	-0.619228984	2.914662368	1.653745638	-0.406213346	0.016433892	0.283700336	-1.447541596	-3.368526827	-0.002110481	-1.42809982	-0.080002556
hsa_piR_006897_DQ579406	-0.249137877	0.935206441	0.125384467	0.586218965	-1.667956056	-5.477960062	0.216070872	0.244542696	0.226537498	0.288209289	0.667978346	4.06707896	1.11075351	-0.585381184	-1.743099739	-1.118084705	-1.043931713	0.045952881	2.021274085	-1.689618311	-0.128759912	0.040768762	0.357086397	5.103896734	3.868662837	-1.540651001	-1.478709746	0.196669384	-0.822014027	0.656963038
hsa_piR_006976_DQ579517	-0.834100377	-0.164329233	-0.097007955	0.417006582	-4.552478838	-0.67060514	4.833567336	-1.184300603	0.521614372	-2.93829924	1.896247333	0.259724039	0.11075351	-5.305273264	-1.150009359	-0.667423294	-5.711310625	-1.410561254	-4.905283545	-0.701691143	1.794631664	3.362696856	2.488604418	-3.071028949	0.283700336	-0.7816591	-5.286064667	-0.002110481	-1.97743841	5.167924957
hsa_piR_007559_DQ580307	-1.716263887	-0.801759154	-0.487797908	-0.155355882	1.935807642	-5.528586135	-2.368891629	-3.584345388	0.756079627	1.64666326	1.339853985	0.554921768	-0.057583494	1.177617328	-2.573220789	-0.956929913	-0.133567108	1.651214944	-4.520619694	-0.179696922	-2.57307462	-0.346254361	-1.023965781	-0.749100855	0.662211959	-2.931440953	1.386360674	-0.135377011	-3.044771179	0.009264782
hsa_piR_007937_DQ580794	5.048542672	-0.164329233	-1.097007955	2.50760913	-3.137441338	-0.67060514	-5.938747236	0.244542696	-1.398951159	-5.125926243	1.896247333	0.259724039	0.11075351	-4.475198265	-2.931369072	-0.667423294	-0.582027608	0.515438164	0.649305307	-1.38476373	-0.307730055	0.040768761	-0.406213346	1.016433893	0.283700336	-2.955688499	-0.198601827	-0.002110481	-1.42809982	-0.080002556
hsa_piR_008026_DQ580917	2.625331241	3.835670766	0.980994557	4.709242991	4.534984002	-0.67060514	1.111547483	0.244542696	-0.990835628	6.089606757	1.066172335	5.389007055	-0.092779884	-0.305273264	0.769820293	-0.694390343	-3.38938253	-2.600039052	-4.257585289	1.058842922	1.267582278	2.50020038	1.108359828	4.186358894	-0.473028513	2.629274002	5.010851538	-0.002110481	2.186610025	2.064387354
hsa_piR_008112_DQ581031	0.908503293	-0.328833987	0.199239593	-0.300805038	1.044583756	0.531391253	0.019932038	0.665921722	0.474501778	-0.148125292	0.109763591	-1.002756047	0.257517029	-1.659325562	1.069385596	0.063873549	-0.62421468	-0.870452989	-0.253902807	0.415878452	0.597422804	-0.227996681	0.595649399	-1.007872015	0.443829104	1.068513849	-0.840919214	0.589719674	-0.047617008	0.666836097
hsa_piR_008113_DQ581032	-0.120704702	-0.170358415	0.108361847	-0.320353771	0.444146435	0.242222481	0.13276993	0.898673636	0.163603355	-0.162878793	0.290392666	-0.635764406	0.088557764	-1.36691233	0.185412933	-0.478095763	-0.730890995	-0.502709182	-0.866469611	0.395078853	0.580595005	-0.031987581	0.466282181	-0.377480316	0.058847829	0.250486172	-0.534392575	0.32715959	0.277183194	0.200549611
hsa_piR_008114_DQ581033	-0.041758026	-0.495323136	0.188746528	-1.059896173	0.23780257	0.8187797	-1.220497568	1.816794145	0.034953946	1.250289605	-0.214176655	-0.636630693	-0.304283989	-6.141774532	0.185813178	0.305941578	-1.195004486	-0.593086292	-0.319997897	0.242251153	0.662399417	-0.76658616	0.115739358	-0.09459742	0.205415578	0.349166082	-0.420994249	0.525989684	0.010342284	0.086246787
hsa_piR_008983_DQ582175	-0.834100377	5.327523863	0.487954545	5.185681035	-0.552478837	-0.67060514	0.690609383	0.244542696	0.466472819	0.231625762	1.896247333	5.389007055	1.619767158	-0.305273264	2.458799884	-1.228539055	-0.582027608	0.056006546	-3.874256649	-0.171770007	0.177696774	3.741208479	3.763711656	3.601396393	-0.952367023	4.567873458	4.260829791	-0.002110481	0.94113399	6.563853634
hsa_piR_008984_DQ582176	-0.834100377	-0.816405929	1.26054405	-1.183552773	-4.722403839	-0.67060514	4.913001804	0.544102978	0.521614372	-4.353336739	1.896247333	0.545126258	0.558212487	-5.434556281	-1.150009359	-1.252385797	-0.582027608	-2.020614736	0.649305307	-2.493698101	-0.784168097	0.040768761	0.646254074	1.823788814	-0.038227759	-2.540651	0.131546775	-0.002110481	-1.428099819	-0.080002556
hsa_piR_009154_DQ582400	-0.952744874	-1.299488816	0.513045527	0.065386802	-1.955834533	2.057315315	-1.426073598	1.074617695	0.448682851	1.64666326	1.741272674	1.774297212	-0.753184941	-1.392736105	0.618399284	-0.636617249	-3.132224692	-0.654486837	0.796862495	-0.470365598	0.532791733	-0.188049929	1.812955175	0.094436404	1.029516848	-0.218722905	1.081506093	0.036708768	-0.559604602	2.389111616
hsa_piR_009228_DQ582496	-0.018524949	-1.132148827	-0.64449575	-1.350371864	0.591911071	-5.880058505	2.717714613	-1.697354349	1.124955403	-2.130142599	-0.770509258	-5.514464019	-1.567318395	-3.179742382	-3.367710084	0.580504218	0.167994138	0.19351007	-4.257585289	0.914203216	-3.354693532	-1.807228145	0.108359828	-0.909565527	-4.108617087	-1.637512539	-1.268991154	1.658140147	-0.640508152	2.466631826
hsa_piR_009295_DQ582567	1.487827718	0.024704591	0.967122383	-1.136247059	-0.830012814	-3.477960062	-0.157387524	-0.340419805	-0.662810198	-1.635538556	-0.266691237	1.155888228	-1.256028821	-1.598055013	-1.438134745	-0.87095669	-1.041459227	-1.484561835	-3.743012116	0.621779116	-0.240615857	-0.196270436	0.74906488	2.71687361	-1.156872255	0.629274002	0.92258452	-0.326950171	1.023596151	-0.708033778
hsa_piR_009903_DQ583334	-0.679772231	3.146458304	0.912976134	-0.092854463	-1.406089352	-1.759141815	4.629208838	0.782962611	0.521614372	0.401550763	6.703602255	0.259724039	-1.47420899	-0.774758547	-1.150009359	-0.791158664	-2.845062015	-0.732489349	-0.765732192	-0.452579114	-0.307730055	0.881290548	-0.2256411	0.396705973	-1.938692086	-0.877685987	-1.701102167	-1.101646154	2.989752696	0.335034944
hsa_piR_010098_DQ583597	-1.319527205	-0.164329233	-3.681970456	0.185681035	1.37352058	-0.67060514	-4.396853459	0.244542696	2.981045992	1.231625762	1.896247334	0.259724039	0.11075351	0.230779636	2.55043036	-0.667423294	-0.582027608	1.293045744	0.649305307	-0.619228984	-3.115084974	-0.959231238	-2.991175845	1.016433893	0.283700336	-5.084971517	-0.198601827	-0.002110481	-5.366699274	-0.080002556
hsa_piR_011094_DQ584967	-0.834100377	-0.164329233	2.362423664	0.185681035	-0.552478837	-0.67060514	4.171736072	0.244542696	-0.478385626	0.231625762	1.896247333	0.259724039	0.11075351	-0.305273264	-0.281253891	-0.667423294	-0.582027608	0.100400666	-5.500441812	-0.619228984	2.909500663	4.362696856	-3.406213346	1.016433893	-5.906124223	0.044311501	-0.198601827	-0.002110481	-0.36920613	3.379429063
hsa_piR_011122_DQ585010	-1.529245796	-0.164329233	-4.904362877	0.185681035	5.597268281	-0.67060514	-8.509062961	-4.170494804	0.521614372	5.846335606	1.896247333	0.259724039	0.11075351	-0.112628186	-1.150009359	-0.667423294	5.372168701	1.167514861	0.649305307	-0.981799063	-0.307730055	0.040768761	-4.31310394	-3.684005826	0.283700336	-5.277616594	-0.198601827	-0.002110481	-4.029003864	-0.080002556
hsa_piR_011174_DQ585078	-0.834100377	-0.164329233	-1.097007955	0.185681035	-0.552478837	-0.67060514	3.105646882	0.244542696	0.521614372	-1.048482158	1.896247333	0.259724039	0.11075351	-0.305273264	-1.150009359	-0.667423294	4.587897393	-3.876879259	0.649305307	-0.619228984	-6.994230581	0.040768761	-3.865644964	1.016433893	0.283700336	0.044311501	-0.198601827	-0.002110481	6.85267095	-0.080002556
hsa_piR_011187_DQ585094	-0.834100377	3.536110485	-0.594507614	0.185681035	-0.552478837	-0.67060514	4.913001804	0.244542696	0.521614372	0.231625762	1.896247333	4.844686539	-3.88924649	-0.305273264	-1.150009359	-1.045934919	-0.582027608	-0.484561836	-3.743012116	-0.619228984	-0.307730055	2.625731262	3.401141577	4.475865511	-0.084031449	1.629274002	3.708288768	-0.002110481	1.470020567	5.919997444
hsa_piR_011188_DQ585095	-2.156028472	-1.386721654	-0.459578034	0.863752941	3.447521161	-0.67060514	-0.036372123	2.775057412	1.019114033	4.319088603	0.915356157	1.259724039	-1.081891568	1.694726736	-0.463508831	-1.056834987	-2.903955703	-1.391452431	-3.598622207	-0.789153984	1.99266488	2.170051779	0.85682106	0.431471391	-0.190901717	4.951202097	-0.461636233	1.526268492	-0.975587614	3.970623518
hsa_piR_011291_DQ585247	-0.834100377	-4.251792073	0.224920141	-4.901781806	4.091377351	-0.67060514	-0.933881482	0.759115868	0.078007722	4.038980683	-4.191215507	-0.657813801	-1.88924649	-0.305273264	-0.283275889	-0.667423294	-0.582027608	2.711835378	0.649305307	-0.619228984	-0.307730055	-5.244633457	-0.821250845	0.71157931	2.868662836	0.044311501	-1.268991155	-0.002110481	0.893828275	-0.080002556
hsa_piR_011421_DQ585429	-1.963383394	-0.164329233	-1.709984831	-0.925680074	-5.596872957	5.8371895	5.082926805	-0.263251944	0.521614372	-5.412230428	6.419809289	2.259724038	2.918108432	-0.442776788	-1.150009359	-2.252385797	-4.38938253	0.185289563	-0.087660287	-1.489945966	-0.307730055	6.860947723	0.915714749	-0.02663483	3.605628431	-0.750868707	-1.327884844	-0.002110481	-4.281097407	1.504959945
hsa_piR_013624_DQ588594	-0.834100377	-0.164329233	-1.681970456	0.185681035	-0.552478837	-0.67060514	4.720356726	0.244542696	2.843542468	0.231625762	1.896247333	0.259724039	0.11075351	-0.305273264	4.577911096	-0.667423294	-5.488918204	0.576838709	-4.438157534	-0.619228984	-1.021425868	1.040768761	0.330752249	1.016433893	0.283700336	2.366239596	-0.198601827	-0.002110481	3.857302399	3.82688804
hsa_piR_013745_DQ588779	-1.949577595	1.385867849	1.684351759	-1.0828078	5.73292338	1.246932699	-0.274957121	1.763916855	0.683077796	5.786214613	1.770716452	0.32531238	-1.827845945	2.279689237	0.754412982	-1.857439715	-3.38938253	-1.069524336	-1.066901727	0.214761065	1.014198042	-0.892117043	1.278284829	0.835861646	-0.018862434	4.567873458	-1.024572427	1.130339816	0.759527184	2.565989378
