Probes,G101,G102,G103,G104,G105,G108,G109,G110,G111,G112,G114,G117,G119,G120,G126,G128,G130,G302,G303,G304,G305,G306,G311,G313,G314,G315,G317,G322,G324,G332,G336,G337,G347,G358
CDK9,0.493413577,-0.360391308,-0.553828859,0.055616576,-0.434090654,0.111281115,-0.314286966,-0.175867228,-0.64087652,0.200320196,-0.28375336,0.658248762,-0.157378938,0.037363448,0.048826327,-0.182334529,-0.916383747,0.027868206,-1.144369558,-0.284994829,0.371324762,-0.175012443,-0.06394749,-0.209196088,0.025813409,-0.076525056,-0.274477214,0.006687422,-0.776349766,-0.586968934,-0.682854267,-0.046956876,0.068095,-0.69973599
CEBPE,-0.747605701,-0.906146202,0.15780057,0.708983669,0.794416822,1.262269528,-0.16350941,-0.684598311,1.224085186,0.506894521,-0.273757423,0.096623202,0.036879361,-0.526038061,0.29478068,0.921363024,1.413507702,0.255280343,0.947775942,-0.786193886,-0.020897613,0.627398579,-0.160510204,0.870319446,0.121029344,-0.213749196,-1.071429595,0.360462808,2.066260521,2.514603201,-0.12464851,0.33824897,2.114695914,1.201969427
CENPW,0.625455263,1.37883818,1.423364302,-0.597454881,0.31141811,-0.004206803,-0.19693891,0.888645671,1.353190528,0.401213785,0.123099624,0.542504434,1.013341919,0.725542807,0.173484479,0.040828304,-0.936683037,0.445000857,-1.94315506,-0.263851515,-0.422893957,0.252285404,-0.138280096,0.817272108,0.663030692,0.392574953,0.605567824,0.301290573,-0.472406612,-1.989079869,0.16011436,0.152548136,1.568425881,-0.879740485
CEP76,-0.886158946,-1.41706631,-0.196543511,-1.175572008,0.267566157,-0.319876177,-0.866894497,-0.103368632,-0.784892169,0.564269297,-0.130353081,-1.537510231,-0.070910638,-0.228056124,0.36939465,0.115729424,0.72813433,-0.318977522,0.653674869,-0.51108479,-0.752064129,-0.634129431,-0.567291974,-0.252269156,0.260954338,0.438732317,-0.134669191,-0.646172296,-0.229243563,1.179606651,-1.067010302,-0.701337868,-0.780551099,-0.096274616
CFLAR,-0.261430102,0.510179957,1.481837846,1.683498245,0.201887686,0.551890953,0.561394533,1.77543542,0.577585135,0.44395664,0.62621314,1.114280859,0.100006269,1.06227144,1.121378458,-0.58733989,1.353298293,0.308213152,1.033305948,1.032276215,-0.076227421,0.134702699,-0.394695149,0.438747405,-0.016055018,0.369015897,0.2623574,1.198651671,1.876340859,1.744835259,1.808629145,0.574960313,-0.83749783,1.616709159
COPG2,0.243508847,-0.563345624,-0.621975442,-0.043535029,-0.1344033,0.153833682,-0.594018328,-0.216493407,0.246251912,-1.157113124,-0.150656479,0.335047457,-0.765006243,-1.011178841,-0.496745721,-0.085126785,-2.377823084,0.159186918,-1.646332363,-0.467763788,-0.060115074,-0.58799995,0.290834546,-1.492428451,-0.823278235,-0.328110295,-0.169801816,-0.102211034,-1.431430374,-0.683430551,-1.057895032,-0.330264706,-0.922530553,-1.000045818
CORO2A,-0.922685363,-0.322062265,-0.602541871,-0.040346606,-1.59103168,-0.194933075,-0.406337608,-0.302326142,-0.939963324,0.273196286,0.174125223,-0.56484286,0.209682669,1.447004921,-0.51305557,-1.077155184,1.293845988,-0.536162342,0.67687282,-0.20980318,-0.153743423,0.244485971,0.099663978,-0.228808841,-0.010319114,0.644410349,-0.033841151,-0.512227635,2.039609887,0.003919845,0.433872784,-1.508002991,0.441921446,0.233259467
CPT1B,0.861092534,0.336932461,1.328987207,1.718419204,0.698620662,0.046085328,1.457981057,1.121249498,0.629450783,0.675842104,0.94948087,1.025922866,2.043203181,1.387752995,1.201591129,1.344406519,1.572982521,0.705390068,2.306138577,1.141322455,0.404437218,0.649275826,0.805767981,1.370796478,0.448290313,1.496416431,0.777138857,1.05984994,1.440940294,2.020115203,1.464516226,1.117950357,0.715447933,1.006952571
CRADD,-1.010140528,-0.000407892,-0.579471656,-0.340875024,-0.231960678,-0.934023639,-0.358669248,-0.21948534,-0.022346934,0.461627632,-0.402222558,-0.797152406,-0.080107478,0.436459094,0.11522464,-0.744245559,1.267260424,-0.170426011,0.837520741,-0.084149422,-0.212771858,-0.035237753,-0.506358579,0.172829205,0.788654019,0.224847236,0.719473616,0.086816256,0.198777891,0.545230059,0.607611228,0.081698134,0.450763167,0.1216971
CRYZ,1.028707559,-0.753037443,0.054153639,0.057783719,-0.345134456,0.343107107,-0.458121013,0.044527699,-0.210823411,-0.293776683,-0.956968595,0.116793702,-0.315581356,-0.330219376,-0.781979215,-0.075576505,-1.744601819,0.655241235,-1.748253296,-1.191689453,-0.804373092,0.036880197,0.682997047,-0.892393365,0.159533499,-0.902846131,-0.295871486,-0.299117153,-1.780657158,-2.659260307,-0.873028858,-0.535455908,-0.780857194,-0.435508816
