,RNF44,CENPW,ABT1,EIF1B,RAF1,TTC31,REPS1,FLVCR1,SOCS5,CARD16,PRKD3,ARGLU1,RFT1,LOC619207,CUL5,ZNF71,MEN1,PPIB,JAK1,COL19A1,BTBD19,FOXN3,SF3B3,DEPDC1,FAM102A,ALG12,QSOX1,THEM4,MARCH1,LOC339874,ITGAM,OR5M3,GFER,OR4F3,RNF44,YIPF2,GATSL2,PIK3R3,CENPW,ABT1,LOC100126784,GPR35,RAF1,TTC31,REPS1,ZNF750,SLC35D1,FLVCR1,SOCS5,MKRN7P,LOC728752,RFK,PAPD5,CARD16,OR8I2,ARGLU1,FANK1,RFT1,BLVRA,OR6A2,CUL5,LARS,MEN1,CIB1,YY2,KCNH3,FOXN3,EPHA1-AS1,DEPDC1,SF3B5,LOC100507250,ALG12,GNG12-AS1,C11orf63,OR4K13,LOC399753,NEXN,NUP93,Class
G119,-1.061719,0.358151,0.613957,-0.084337,-2.3649150000000003,-0.415905,0.63847,0.134077,0.095657,1.354403,0.303112,0.600866,0.5506409999999999,1.811812,0.343992,-0.77727,0.943651,0.8105020000000001,-0.986101,-0.71394,-0.559467,-0.40764,0.238802,0.189202,-1.083797,0.11061700000000001,0.242628,0.025225,0.365888,0.392016,-0.923724,-2.103589,0.47174099999999997,-1.912828,-1.061719,0.29148,-2.1467490000000002,-0.575869,0.358151,0.613957,0.041975,-0.153527,-2.3649150000000003,-0.415905,0.63847,-0.991928,-0.45107700000000006,0.134077,0.095657,-0.20529099999999997,-0.553308,0.35063099999999997,-0.23018000000000002,1.354403,0.0,0.600866,1.274241,0.5506409999999999,-0.19633,-1.208057,0.343992,0.110411,0.943651,-0.761532,1.3044360000000002,1.0692469999999998,-0.40764,0.543639,0.189202,0.489329,0.225266,0.11061700000000001,-0.775595,0.45047600000000004,-0.71839,-0.32507600000000003,-0.251718,0.236144,Persistent
G120,0.38624400000000003,1.2424520000000001,-0.803895,-0.07398300000000001,0.761314,1.304101,0.255205,0.44772,-0.771982,0.212229,-0.21026399999999998,0.8124520000000001,0.268253,0.056219000000000005,0.15646500000000002,1.5383200000000001,-0.209207,-0.51349,1.734016,-0.351518,-1.726432,-0.17131,-0.19158499999999998,0.780497,1.318948,-0.0033469999999999997,-0.252452,1.9340490000000001,0.351353,-0.712958,-0.28021799999999997,0.0,-0.39105999999999996,-0.267212,0.38624400000000003,-1.173253,-0.096961,0.13206500000000002,1.2424520000000001,-0.803895,0.0,-0.6322770000000001,0.761314,1.304101,0.255205,0.64558,1.9053080000000002,0.44772,-0.771982,-0.320255,-0.7092579999999999,-0.349054,0.099513,0.212229,-0.547762,0.8124520000000001,0.5524479999999999,0.268253,2.241536,0.0,0.15646500000000002,0.390516,-0.209207,0.303722,-0.225819,-0.783938,-0.17131,0.7735310000000001,0.780497,-0.260017,0.7379020000000001,-0.0033469999999999997,0.967542,0.28377600000000003,0.0,1.200224,0.466725,-0.020432,Waned
G126,1.172632,1.546357,-0.720021,-0.41545,1.605097,1.1230870000000002,-0.180875,1.257225,0.374162,0.078534,-0.011251,0.46295,0.550242,-0.904854,-0.092674,1.706539,-0.5263939999999999,-0.226675,1.6947009999999998,0.751888,0.744691,-0.166916,-0.603708,-0.446486,1.644975,0.394273,-0.337922,1.3117459999999999,1.25063,0.573996,-0.049363,0.0,-0.47249300000000005,-0.79468,1.172632,-0.506738,-0.101547,-0.932514,1.546357,-0.720021,0.0,0.06260399999999999,1.605097,1.1230870000000002,-0.180875,1.3021280000000002,2.4260479999999998,1.257225,0.374162,-0.037124000000000004,-0.359277,-0.43071099999999996,-0.12123900000000001,0.078534,0.0,0.46295,-0.32174899999999995,0.550242,3.3644190000000003,0.0,-0.092674,0.06292,-0.5263939999999999,-0.454085,-1.0073219999999998,-0.603839,-0.166916,1.483817,-0.446486,-0.880868,2.150435,0.394273,0.983519,0.277468,0.0,-0.007525,1.5306309999999999,0.756311,Persistent
G128,-1.9418220000000002,1.3950209999999998,-0.213946,0.765403,-1.022175,0.158871,-0.222363,1.016628,0.792521,1.033985,-0.198403,0.45262299999999994,0.13758299999999998,0.28373000000000004,-0.562707,-0.779569,0.245761,0.508522,-0.316358,0.016556,-0.111876,-0.39376500000000003,0.23275900000000002,2.0045450000000002,-0.705245,-0.0959,-0.345666,0.9331870000000001,-0.153622,0.467429,-0.852835,0.0,0.12183900000000002,-0.28091,-1.9418220000000002,0.028734,-0.298471,0.9483590000000001,1.3950209999999998,-0.213946,0.467429,-1.072454,-1.022175,0.158871,-0.222363,-0.005686,0.069891,1.016628,0.792521,-0.190857,0.059064,0.805292,-0.410605,1.033985,0.819903,0.45262299999999994,-0.005686,0.13758299999999998,0.8480030000000001,0.467429,-0.562707,0.23645300000000002,0.245761,-0.078751,-0.15237699999999998,-1.62405,-0.39376500000000003,0.21340599999999998,2.0045450000000002,0.45043900000000003,1.153026,-0.0959,-0.9960889999999999,0.55937,0.0,-0.981994,1.2468620000000001,0.033733,Persistent
G130,-0.167743,-0.622677,0.19861700000000002,0.119078,-0.8237399999999999,0.20285599999999998,0.13475399999999998,0.366012,-0.009404000000000001,0.19062,0.301079,0.049694999999999996,0.20501,1.2893379999999999,-0.208787,-0.296091,0.425195,0.42979399999999995,0.400907,-0.014363999999999998,0.136264,-0.091364,-0.0037329999999999998,1.02484,-0.06612799999999999,0.63122,-0.171415,0.35993400000000003,0.37546399999999996,1.334196,0.16012,0.0,-0.558595,-1.286606,-0.167743,-0.6624369999999999,-0.804774,-1.278549,-0.622677,0.19861700000000002,-1.569848,0.357239,-0.8237399999999999,0.20285599999999998,0.13475399999999998,-0.8162689999999999,0.089031,0.366012,-0.009404000000000001,-2.098023,0.280901,-0.17391800000000002,-0.324745,0.19062,-0.11501700000000001,0.049694999999999996,-1.442102,0.20501,0.8558709999999999,0.313788,-0.208787,0.23858400000000002,0.425195,-1.254653,-0.022908,-0.11716700000000001,-0.091364,0.543365,1.02484,-0.6343,-1.2155280000000002,0.63122,1.6403029999999998,-0.357745,-0.727916,-0.805531,0.292914,0.695782,Waned
G302,1.184037,-0.8193530000000001,1.051875,0.065109,-0.63372,-0.49425600000000003,0.13838399999999998,-0.281602,0.7677430000000001,0.134829,-0.081843,-0.673574,0.06754600000000001,-0.010062999999999999,-0.662345,-0.5411189999999999,0.326277,0.539093,-0.546325,0.184359,0.629123,-0.010451,0.047597,-1.085367,-0.197295,0.383231,-0.136872,0.038588,-0.261694,-0.137751,-0.24028200000000002,0.0,0.363241,-0.874526,1.184037,0.6487,-0.500067,-0.5310010000000001,-0.8193530000000001,1.051875,0.0,-0.10348900000000001,-0.63372,-0.49425600000000003,0.13838399999999998,-0.118915,-0.578162,-0.281602,0.7677430000000001,-0.5633100000000001,0.234994,-0.639339,0.27716399999999997,0.134829,0.0,-0.673574,0.358921,0.06754600000000001,0.25481,-0.053321,-0.662345,-0.368261,0.326277,-0.439382,0.173802,-0.5639890000000001,-0.010451,0.8320700000000001,-1.085367,-0.78884,0.16735899999999998,0.383231,0.322716,-0.156633,0.0,-0.042694,1.6579259999999998,0.035148,Waned
G304,-1.695801,-0.261515,0.520412,-0.42319700000000005,-0.596442,0.002131,-0.21798,-0.005889,0.807983,0.315314,0.04725,-0.365775,0.46551899999999996,0.006906,-0.332823,-0.567753,0.41174700000000003,0.685333,-0.816179,0.531159,-0.777637,0.008178,-0.225054,-0.37900500000000004,-0.160694,0.665555,-0.031432,-0.512908,0.165251,0.343332,-0.341368,0.0,0.181086,0.279467,-1.695801,-0.032702999999999996,-1.184914,0.333361,-0.261515,0.520412,0.0,-1.3656549999999998,-0.596442,0.002131,-0.21798,-1.03582,-0.41125600000000007,-0.005889,0.807983,0.002975,1.3140120000000002,-0.183171,-0.7442949999999999,0.315314,0.0,-0.365775,1.290448,0.46551899999999996,0.7009,0.0,-0.332823,-0.25511999999999996,0.41174700000000003,-0.5260819999999999,0.167413,0.759675,0.008178,0.371867,-0.37900500000000004,0.034791,-0.5590970000000001,0.665555,-0.641446,-0.433493,0.0,-0.155609,0.45282700000000004,0.174069,Waned
G305,0.049783999999999995,0.30190900000000004,-0.0358,-0.008944,0.29581199999999996,-0.20036700000000002,-0.24450999999999998,0.37990100000000004,0.40493,1.003076,-0.11882000000000001,-0.714512,0.30301500000000003,0.668259,-0.096,0.141341,0.42715,-0.28883000000000003,-0.330133,-0.20883800000000002,-0.139499,0.26798299999999997,-0.194043,0.032388,0.421824,-0.155872,0.048434,-0.143681,-0.096604,1.315194,0.42298900000000006,0.11740899999999999,-0.257648,-1.331949,0.049783999999999995,-0.284327,-0.159125,-0.07787999999999999,0.30190900000000004,-0.0358,0.41992299999999994,-1.005081,0.29581199999999996,-0.20036700000000002,-0.24450999999999998,0.607325,-0.25425,0.37990100000000004,0.40493,-0.42318999999999996,0.064747,-0.870575,-0.37558800000000003,1.003076,0.499151,-0.714512,-1.601478,0.30301500000000003,0.916322,-0.8005399999999999,-0.096,0.279329,0.42715,-0.13067,0.272564,-0.432918,0.26798299999999997,0.046717,0.032388,-0.17011800000000002,-0.029904000000000003,-0.155872,-1.929872,-0.075014,-1.299691,1.022229,0.21485700000000002,0.257524,Waned
G306,-0.5107430000000001,0.40017800000000003,-0.23282399999999998,0.621644,-0.267807,0.267898,0.136597,0.400357,-0.506174,1.176044,-0.273395,0.19594,0.20230399999999998,0.28633200000000003,1.260199,-0.616142,0.005987,-0.143993,0.31934,-0.37967399999999996,-0.73946,0.012875999999999999,-0.162813,0.14761,0.500317,-0.269982,-0.6758770000000001,0.7958270000000001,0.472884,-0.254407,-0.713731,0.0,0.181912,1.046815,-0.5107430000000001,0.49323,0.145707,0.35489899999999996,0.40017800000000003,-0.23282399999999998,0.183339,-0.085126,-0.267807,0.267898,0.136597,0.182285,-0.012121,0.400357,-0.506174,-0.281462,0.636121,0.458596,0.200401,1.176044,0.46480200000000005,0.19594,0.818098,0.20230399999999998,0.820857,0.0,1.260199,0.547562,0.005987,-0.42191599999999996,-0.051739,-1.0101,0.012875999999999999,-0.202586,0.14761,-0.380869,-0.374771,-0.269982,-0.41889899999999997,0.9803430000000001,0.0,0.9189510000000001,1.163359,-0.35355,Waned
G311,0.904609,0.002066,-0.060723,1.038861,-0.29865,-0.19076300000000002,-0.352133,0.606113,-0.6217699999999999,1.1253389999999999,-0.459246,-0.522383,-0.253209,-0.534988,-0.074226,-0.44377799999999995,0.16127,0.259098,-0.36687,-0.7226319999999999,-0.348601,0.285335,-0.260112,-1.0754920000000001,-0.663917,0.0014,0.020847,-0.660755,0.8446540000000001,3.187304,0.030055000000000002,1.168353,-0.978298,0.1204,0.904609,0.162018,0.2068,-0.153101,0.002066,-0.060723,0.0,-0.8586870000000001,-0.29865,-0.19076300000000002,-0.352133,-0.353664,-0.304906,0.606113,-0.6217699999999999,2.4239610000000003,0.64651,0.250268,0.6247159999999999,1.1253389999999999,0.6993510000000001,-0.522383,0.1204,-0.253209,1.451547,1.521716,-0.074226,-0.440326,0.16127,-0.560188,-0.031216000000000004,1.7176150000000001,0.285335,-1.17725,-1.0754920000000001,-0.9651629999999999,0.5485800000000001,0.0014,-1.176029,-0.635151,0.1204,-0.359607,1.820943,0.6534810000000001,Persistent
