	TOR3A	GAS6	EMR4P	PLCL1	CDKN1A	CD300C	ZNF714	NSD1	NAPRT1	PDS5B	DYNC2H1	ARMC2	STAB1	KLHDC8B	RBPJ	RPL23AP64	XKRX	KCNQ5	PPARGC1B	CEP85L	IFITM3	GOLGA2P5	ZNF585A	IFITM1	GTF3C3	SCO2	TCN2	PSMB5	RNF19A	DNASE2	ZNF597	P2RY2	BCRP3	LAMTOR2	METRNL	MAP3K6	BTLA	PAQR4	ANKS6	DNASE1L1	ACP2	RIC3	C9orf89	PCBD1	Class
G313	1.473413307	2.355943253	-1.596327022	-1.416364334	2.317917532	2.126833954	-0.95204918	-1.692126133	0.727419177	-0.750030116	-3.460066137	-0.646544429	2.57647572	2.506161991	-0.042716495	-1.042333576	-2.3314614	-1.701243465	0.800495011	-1.204907028	4.746134606	-1.160639928	0.324460797	4.50431265	-0.514107986	2.913313577	3.753191458	0.393859094	-0.119242829	0.878087853	1.036300238	2.129141787	-1.282054027	1.474890271	0.918241091	1.389526111	-1.618016313	1.179695981	-2.858938651	1.062914513	1.045412531	-1.454764107	0.991261697	1.582062834	P
G314	0.441953111	-0.2771742	-0.629811073	0.427811007	0.271305603	0.395752674	-0.115726779	-0.416119178	-0.02639002	-0.341486818	-0.697379285	0.214592416	0.075473588	-0.337171432	0.392756108	-0.181574514	0.373443771	0.642581226	-1.533312519	0.293213694	1.136860784	0.286519335	-0.38172083	1.277321713	-0.165025038	1.701785282	1.719608368	-0.481337549	-0.547893054	0.165643457	-1.62102616	-0.409331345	-0.512117265	0.379992135	-0.642696129	-0.143948285	0.68634047	-0.5769	0.126069488	-0.569230124	-0.346908714	-0.592306789	-0.289239588	-0.046530681	w
G315	0.91539652	2.015633929	0.643219767	-0.029404085	1.376072425	0.907388269	0.413600058	-0.550528187	0.304053471	-0.266885357	-0.986847216	-0.409559939	0.998521296	-0.231808977	-0.138694536	0.003376104	-1.346451823	-1.776682226	0.204692132	-0.390500551	3.310376845	-1.284351515	0.494121747	3.329584518	0.153681808	2.359947825	2.339676823	0.140616721	0.046457574	0.532056299	0.143678466	1.266044498	-0.488636026	0.117659105	0.430516421	1.462793453	0.009434515	1.204382347	-1.261674026	0.526948933	0.494250169	0.177627664	0.84350052	0.369924954	P
G322	0.922920489	2.326012299	-1.066131397	-1.994000092	1.710693201	1.336376108	-1.165912238	-0.61235497	0.929087837	-0.26589092	-2.047372735	-0.762251156	1.756015141	1.674440533	0.246513255	-1.013410138	-1.960477359	-1.23087448	0.465571555	-1.475917767	4.914452054	-1.699691354	-0.033295962	4.805415898	-0.853263385	3.638624754	3.131800173	0.515959494	0.016195313	0.371271381	0.308392962	1.162851735	-0.960056902	1.075580723	0.312330662	1.78311024	-0.735366601	0.948940885	-0.819011263	0.186615524	1.281559356	-1.919393909	0.62339424	0.947019357	P
G324	0.95435338	2.482958322	-1.27702614	-2.660914194	1.104536698	1.470003436	-1.297680297	-0.199591855	0.600064588	-0.265817599	-2.184499575	-0.71902705	2.683339977	2.646094747	-0.173243946	-1.780428865	-1.589278265	-2.602782318	0.411816528	-0.935572782	4.561712692	-1.748789847	-0.171669454	4.459433792	-0.987599526	3.337688668	3.186825031	0.725875057	0.240941047	0.355707981	-0.832928518	1.679796817	-1.2607063	1.000861966	0.64651115	1.032317992	-1.462583831	0.409578861	-2.310556379	0.007283235	1.263817645	-1.424843812	0.330902903	-0.279013906	P
G332	1.624637543	2.507658192	-2.125253982	-0.72215813	2.098138892	1.759536943	-0.422444179	-0.57678475	0.967855216	-0.723140557	-3.095140725	-1.974822537	1.689447657	2.991353173	-0.236677735	-1.03618821	-3.379464761	-3.883693438	0.473595684	-1.628173232	4.493211065	-1.806485558	0.064148808	4.412619604	-0.815002763	4.222447252	3.889733023	0.083753716	0.036382973	0.877188104	0.320068041	2.502709316	-1.07745147	1.325752653	0.523535697	1.239814126	-1.687888571	0.381348535	-1.401380381	0.24553404	1.07394148	-1.462574321	0.666188616	1.152178885	P
G336	1.53866222	1.908477902	-2.553609711	-1.530285725	1.743468264	1.185438879	-1.739597954	-1.22248017	1.147847551	-0.322531859	-3.954810053	0.158949808	2.439647587	0.797400427	1.185612445	-1.60968382	-2.086650926	-3.00629005	-1.219322965	-1.904721546	4.852499955	-2.791799696	0.088679778	4.818104423	-1.097106539	3.334433706	2.642771289	0.538117812	0.254809968	-0.146906013	-0.521472261	0.346483239	-1.189494281	1.389519655	0.884976884	1.639478214	-1.930184448	1.339961226	-2.102973089	-0.088394199	0.81348469	-2.529075636	1.408233659	1.570531859	P
G337	0.977553311	2.728694094	-0.88779672	-0.935151783	1.59780914	1.69151722	-0.497666062	-0.193164761	0.579949539	0.178538602	-1.94742268	0.102860915	1.185854928	1.565488092	0.262090724	-0.428942112	-2.507700022	-1.964234886	0.582992343	-0.945064812	3.994255343	-1.773439613	-0.095020849	3.811052754	0.043503215	3.218266581	4.36235204	-0.033008447	0.622643157	0.487961964	-0.5989733	0.97470379	-1.008918833	1.127037432	0.595270814	0.558978371	-1.053507162	0.415683265	-1.243943525	0.343148644	0.826077695	-1.125085435	0.653684502	0.56957494	w
G347	0.480590037	2.109354752	-0.140621742	-0.839226123	0.625536786	0.844566263	-0.742544187	-0.735451865	0.42496315	-0.59261699	-2.243550471	-1.604488777	1.547174537	0.726434668	-0.051641036	-1.087685791	-2.531366569	-2.380149064	0.446888456	-0.865901307	3.875817742	-1.230531724	-0.938799218	3.852203321	0.778991657	3.054274049	2.056875154	1.07685883	-0.370146102	0.365257561	-0.264921332	0.158490288	-0.590148623	0.248215676	0.704505673	-0.013479955	-0.144767822	-0.719573023	-1.699445801	-0.136986872	0.942792369	-0.978867678	0.283464611	0.543355049	P
G358	0.543878112	0.888613912	-0.475081914	-0.596194594	1.085288852	0.803266956	-0.433476313	-0.369529838	1.177890616	-0.482238009	-1.684158812	0.610953126	0.901926919	0.363935209	0.536140474	-0.607940657	-1.026555327	-0.496026563	0.085974167	-0.447533885	2.536345755	-0.85860488	0.039358634	2.534619332	-0.420411647	2.191618153	1.320096349	0.222165179	-0.615640663	0.744515806	-0.269068344	0.689455797	-0.442415246	0.633981813	-0.212643839	1.451256164	0.136262516	0.05139977	-0.352516907	0.174794186	-0.307555211	-0.465475814	0.930217029	-0.263777671	w
